Gender ,Unit Location ,Time in role,TIDES Day 1,TIDES Day 2,TIDES Day 3,TIDES Orientation ,TIDES Physical Skills Pre-reqs ,Safe & Well Trainings,Safe & Well Trainings_open ,PreKnowledge1 ,PreKnowledge2,PreKnowledge3,PreKnowledge4,PreKnowledge5,PreKnowledge6,PreKnowledge7,PreKnowledge8,PreKnowledge9,PreKnowledge10,PreKnowledge11,PreKnowledge12,PreConfidence1,PreConfidence2,PreConfidence3,PreConfidence4,PreConfidence5,PreConfidence6,PreConfidence7,PreConfidence8,PostKnowledge1 ,PostKnowledge2,PostKnowledge3,PostKnowledge4,PostKnowledge5,PostKnowledge6,PostKnowledge7,PostKnowledge8,PostKnowledge9,PostKnowledge10,PostKnowledge11,PostKnowledge12,PostConfidence1,PostConfidence2,PostConfidence3,PostConfidence4,PostConfidence5,PostConfidence6,PostConfidence7,PostConfidence8,LearningAreas1,LearningAreas2,LearningAreas3,LearningAreas4,LearningAreas5,LearningAreas6,LearningAreas7,ContentAreas1,ContentAreas2,ContentAreas3,ContentAreas4,ContentAreas5,ContentAreas6,Intent2Use_Open,Intentnotuse_Open,Satisfaction,Otherfeedback_open,PreK,PostK,PreC,PostC,PreKScore,PostKScore,PreCScore,PostCScore
Female ,15,6,1,1,,.,.,.,.,4,4,4,4,4,2,2,2,2,4,3,3,2,2,2,1,1,1,2,2,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,4,.,3.166666667,4.916666667,1.625,4.375,29,57,25,38
Female ,15,2,1,1,,1,1,2,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,4,3,5,4,.,4,4,4,4,4,4,4,"Trauma informed, self-care ",.,4,Do physical skills in the a.m ,4,4.833333333,4,4.125,48,57,34,33
Female ,16,2,.,1,.,.,2,2,.,4,4,5,5,5,2,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,4,2,2,4,2,2,2,2,2,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,3,2.75,2.75,31,30,28,12
Female ,16,2,1,1,.,.,.,.,.,4,4,4,4,4,1,1,1,1,3,1,1,3,1,1,1,1,1,3,1,5,5,5,5,5,.,.,.,5,5,4,4,5,4,4,4,4,4,.,4,5,5,5,5,5,5,5,4,4,4,4,4,4,Speak to the T.L. and the A.P.C.L about doing weekly debriefings. Will encourage staff who are tasked a client debrief to get a support if needed ,.,5,Excellent! I feel much more confident in using mechanical restraints. Thank you! ,2.416666667,3.583333333,1.5,3.625,19,40,26,32
Female ,16,5,1,1,.,1,1,.,.,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,.,5,4,4,4,4,4,4,.,.,5,TIDES 3 is very helpful and looking forward to get more physical training and the application of restraints ,3.583333333,5,4,4,43,56,36,36
Female ,16,1,1,1,.,1,1,.,.,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,.,5,4,4,4,4,4,4,.,.,5,.,4.666666667,4,4,4,52,48,32,36
Male,16,2,1,1,.,2,1,1,.,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,.,5,4,4,4,4,4,4,Proper use of restraint technique ,.,5,.,4.25,4.583333333,4.25,4.375,49,53,36,39
Female ,16,6,1,1,.,1,1,.,.,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,.,5,4,4,4,4,4,4,Support staff in crisis. Use when a crisis occurs. ,.,5,Very helping in moving forward. Space use was too open 4-2. ,3.833333333,4,3.75,4,46,48,30,36
.,16,3,.,.,.,.,.,.,.,3,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,.,5,4,4,4,4,4,4,I will use this durig therapuetic engagement with client if clients not responding. All decisions should be made with team involvement and not individual calling decisions ,.,4,The TIDES 3 training covered all aspects ,3.583333333,4,3.375,4,41,48,30,36
.,16,6,.,.,.,.,.,.,.,3,4,4,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,.,5,4,4,4,4,4,4,Decision making should be the whole team. Not just the charge nurse. ,.,4,Training is great however needs to be constantly refreshed. 4 hours a month is great however if you are not on that shift you miss out. ,3.583333333,4.083333333,4,4,48,49,32,33
Female ,16,6,1,1,.,1,1,.,Safewords ,4,.,2,2,2,2,2,2,2,2,2,2,4,.,2,2,2,2,5,2,5,5,5,5,5,2,2,2,2,5,5,5,4,5,2,3,3,3,4,5,3,5,5,4,4,.,5,4,4,4,4,4,4,.,.,3,More practice to get controls right before moving to next level. Less talk. ,2,4,2.375,3.625,24,42,31,32
Male,16,3,1,1,.,1,1,2,.,3,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,4,4,4,5,5,5,5,5,.,4,4,4,4,4,4,4,Restraint application and physical intervention ,.,5,. ,3.75,4.333333333,3.75,3.875,44,51,33,35
Female,16,1,1,1,.,1,2,1,.,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,3,3,3,3,3,3,De-brief after incident. Having a self-care for myself after each incident. ,.,5,Very well organized. Very well informed/ very informative. Enough facilitator for each group. ,3.75,4.666666667,3.75,4,46,56,31,36
Female,16,2,1,1,.,.,.,.,.,4,4,4,3,3,4,4,4,4,4,3,3,4,3,3,3,3,3,4,3,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4,4,4,.,.,4,.,3.666666667,4.416666667,3.25,5,42,55,31,39
Male,16,6,1,1,.,.,1,.,.,4,3,4,4,4,3,3,3,3,4,3,3,4,3,3,3,3,3,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.416666667,0,3.375,0,39,0,14,0
Female,16,5,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,4,4,4,4,5,4,3,4,3,4,4,4,2-5 person physical restraints team control and moral conflict distress,Physical practice of restraints ,4,Using waist restraint appeared uncomfortable ,4,4.916666667,4,4.625,47,57,36,36
Female,16,3,1,1,.,.,.,.,.,4,4,4,4,4,2,2,2,2,2,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,.,.,.,.,3.166666667,4,3.375,4,36,48,29,31
Male,16,3,1,1,.,.,1,1,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,4,5,4,5,4,5,5,4,4,4,5,4,4,5,4,4,4,4,4,4,.,.,4,.,4,4.333333333,4,4.5,48,53,32,36
Female,16,3,.,.,.,.,.,.,.,4,3,4,4,5,2,2,2,2,.,2,.,4,3,3,3,3,3,4,4,4,5,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,5,4,4,4,3,4,4,.,.,4,.,2.5,4.333333333,3.375,4.125,28,50,32,36
Female,16,1,.,1,.,2,.,.,.,4,4,4,4,1,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,4,5,5,4,3,4,4,4,4,.,.,4,.,3.083333333,4.25,3,3.875,33,48,31,35
Male,16,4,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,.,.,4,4.833333333,4,5,48,58,36,40
Female,16,2,1,1,.,2,1,2,.,4,4,4,4,5,3,2,2,1,4,2,2,3,2,2,2,2,1,3,2,5,5,5,4,5,4,4,4,4,5,4,4,4,3,4,4,4,4,4,5,5,5,5,5,4,5,5,4,4,3,4,3,3,Debriefing for staff as that's not usually done,.,4,.,3.083333333,4.416666667,2.125,4,30,49,27,37
Male,16,4,1,1,.,.,1,1,.,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5,4,4,5,5,3,4,4,4,4,4,.,.,5,.,4.416666667,4.833333333,4.25,4.75,51,56,37,38
Male,16,6,1,1,.,2,1,2,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,.,3,3,3,3,3,.,.,4,.,4,4,3.5,3.625,46,47,30,30
Male,16,1,1,1,.,1,2,2,.,4,4,4,5,5,5,4,4,3,4,5,5,4,4,4,4,3,2,3,4,4,4,4,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Self-care continually to keep emotionally and psychologically fit,.,5,Great presentors. Very knowledgeable. ,4.333333333,4.416666667,3.5,4.875,51,55,29,40
.,16,3,1,1,.,.,.,.,.,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,3,4,4,5,5,5,5,5,5,5,3,3,3,3,3,3,Consult team when discussing restraints use ,.,4,Good Job! ,2.166666667,3.75,3,3.625,28,45,26,35
Female ,16,5,1,1,.,1,.,.,.,4,4,4,4,4,2,2,2,1,4,1,2,5,2,1,1,1,1,5,2,3,4,4,2,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,2,2,2,2,2,2,.,.,3,Debrief too perscriptive and not all staff have the skill to debrief,2.833333333,3.583333333,2.25,3.25,27,43,22,26
Male ,16,3,1,1,.,1,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,5,5,5,5,4,5,5,5,5,4,4,4,5,5,4,4,5,5,5,4,4,4,4,4,4,Physical restraint if patient is uncooperative and harm to other. Mechanical restrain as the last resort ,.,5,.,4,4.583333333,3.875,4.5,47,56,34,35
Female ,16,6,.,1,.,.,.,.,.,4,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,.,.,5,5,5,5,4,4,3,4,4,4,Team control,.,5,Unit bed anchor to the floor is too low and strained on staff back due to apply restraints ,3.583333333,5,3.375,4.875,42,59,33,30
Male ,16,4,1,1,.,1,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,1,.,4,4,4,4,48,48,32,36
Male ,16,3,1,1,,2,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,Catching escalation early. Spending more time with clients ,.,5,Great day + very interactive,4,4,4,4,48,48,32,36
Male ,16,6,.,.,,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,1,1,1,1,1,1,.,.,4,Weekly debrief form impractical time consuming and irrelvant when no events happened ,5,5,5,5,60,60,40,35
Female,16,2,1,1,,.,1,.,.,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,Great learning material and demo provided ,4.333333333,5,4.125,5,49,60,37,40
Male ,16,2,1,1,,1,1,1,.,4,4,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,5,5,.,1,4,4,4,4,4,4,.,.,3,.,4,4,0,4,32,48,16,30
.,17,6,1,1,.,.,.,.,.,3,3,4,3,4,3,3,2,3,4,4,4,4,3,3,3,3,4,3,4,4,4,5,5,5,5,5,4,4,3,3,3,4,4,5,5,5,5,4,5,4,5,5,4,4,Yes,5,4,4,4,4,4,4,1. De-escalation 2. Self-care ,I will be used the skills learned in my workplace. Seclusions are used on a daily basis,5,"The instructor, camhstaff was very thorough in his educational session. Time was enough to complete the learning. We need to keep practicing the physical interventions. ",3.333333333,4.166666667,3.375,4.625,40,50,32,37
Female ,17,1,1,1,.,.,1,.,.,3,4,4,4,4,1,1,1,1,4,3,3,4,3,1,1,1,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,.,5,4,4,4,4,4,4,"Definitely needed a refresher in restraints, now I feel confident in my ability to use them ",.,5,Really useful! Very clear and detailed ,2.75,5,2.125,5,27,60,28,39
Male,17,1,1,1,.,2,1,2,.,4,5,4,2,3,2,1,2,2,3,3,3,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,Practice using de-escalation techniques. Utilize team work ,.,5,.,2.833333333,5,0,4.75,19,58,20,40
.,17,.,.,.,.,.,.,.,.,4,4,4,4,4,2,2,1,1,2,2,2,2,3,1,1,1,1,1,2,4,4,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,3,5,5,.,5,4,4,4,4,4,4,"First, I will apply trauma aware strategies when using restraints. Second, I will apply physical restraint when necessary",.,5,.,2.666666667,4.583333333,1.5,4,23,53,23,34
.,17,2,.,.,.,.,.,.,.,4,4,4,5,5,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,2,5,5,5,5,5,4,4,4,4,4,4,Mechanical restraint use when applicable for insistence in care of self-harm,.,4,Good work,3.666666667,5,3.125,4.125,40,57,32,33
Female,17,1,1,1,.,.,.,.,.,3,4,4,4,5,2,2,1,2,4,4,3,4,4,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,5,4,5,4,2,3,3,3,3,Debriefing skills,.,5,.,3.166666667,4.166666667,3.375,4,37,49,30,33
Female,17,1,2,2,.,1,2,2,.,4,4,4,4,4,3,3,3,3,4,4,4,2,2,1,1,1,1,2,4,4,5,5,5,4,5,5,5,5,5,4,5,3,3,3,3,3,3,4,4,5,4,5,5,4,2,5,4,2,4,4,4,4,Physical and mechnical restraints. ,.,5,.,3.666666667,4.75,1.75,3.25,34,50,27,33
Female,17,6,1,1,.,.,1,2,.,4,4,4,4,4,1,1,1,1,2,4,3,2,4,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,.,.,4,Great/patient facilitators!! :) ,2.75,4,2.125,3.5,25,46,25,33
.,17,1,1,1,.,1,.,1,.,4,3,4,3,4,2,2,2,2,3,2,3,4,4,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,4,3,3,3,4,3,3,Debrief,.,4,It was great! ,2.833333333,3.916666667,2.875,4,32,48,26,34
Male,17,3,.,.,.,.,.,.,.,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.833333333,5,3.875,5,45,60,36,40
Female,17,1,1,1,.,2,2,1,Tides Orientation Summer 2019,4,2,2,4,4,1,1,1,1,3,1,1,5,1,1,1,1,1,2,1,4,4,4,4,4,3,3,3,3,3,3,3,5,2,3,3,3,3,3,3,5,4,4,5,4,4,5,1,1,3,3,3,3,Better understanding of how I can participate in physical -mechanical restraints,.,4,.,2.083333333,3.416666667,1.625,3.125,21,38,21,30
Female,17,1,1,1,.,1,2,2,.,5,5,5,5,4,4,4,4,2,4,5,5,4,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,4,4,4,Self-care- practice more self-care techniques and practices; Turn patient's wrist upwards to maintain contral (hand control),.,5,Thank you! I enjoyed it and found it very useful as a refresher. Great Job! ,4.333333333,5,3.75,5,47,60,35,39
Male,17,4,1,1,.,.,1,1,PMAB,2,2,2,2,2,4,4,4,4,4,5,5,4,5,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,4,4,3,4,3,3,4,3,3,3,2,3,3,Use new technique to resrict movement while in stretcher restraint,.,5,.,3.333333333,4.583333333,4.375,4.75,50,58,33,34
Male,17,3,.,1,.,.,.,.,.,3,3,4,4,3,3,4,3,3,4,4,4,2,.,.,.,.,.,.,.,3,3,4,4,4,3,4,4,3,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,.,.,4,.,3.5,3.666666667,0.25,3.5,30,44,14,29
Female,17,5,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,4,4,4,4.125,48,48,32,37
Male,17,2,1,1,.,.,1,.,.,4,4,5,4,2,3,4,4,3,2,2,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,5,4,4,5,5,5,5,4,4,4,4,4,4,To properly debrief with patients after restraint event ,.,5,The training was excellent. Delivered well and engaging. ,3.416666667,3.833333333,3.625,3.875,39,46,30,33
Female,17,6,1,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,4,5,4,4,48,56,36,36
Female,17,1,1,1,.,1,.,.,.,4,4,4,3,2,1,1,1,1,4,4,3,4,3,1,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,3,4,4,2,2,2,2,4,4,4,5,5,2,4,1,2,5,2,1,1,3,4,4,I never used mechanical restraints before it wasgood to review this skill,.,4,Wonderful but less small group things,2.666666667,3.583333333,2,3,26,38,22,30
Female,17,2,1,1,.,1,1,.,.,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Work with other staff who already been training as team work,.,5,It was good as all the skills I required were perfectly thought.,4.25,5,4,4.75,49,60,36,38
Female,17,5,1,1,.,.,1,.,.,4,4,4,4,4,2,2,2,2,3,4,4,2,4,4,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,To ensure we work safely as a team and be mindful of effect of our actions has on clients,.,4,Excellent work by facilitators ,3.25,5,3.375,4,36,56,34,35
Female,17,6,1,1,.,1,1,1,HVCPI,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,.,4,4,4,4,4,4,Safely manage agitated patient. Use technique to work with team,.,5,.,4,5,3.25,4,44,56,34,36
Female,17,6,1,1,.,1,1,.,.,2,2,4,4,2,2,2,3,3,2,2,3,4,1,3,.,3,.,.,.,4,4,4,4,2,4,.,4,4,4,3,4,4,3,3,3,3,4,4,4,5,5,5,4,5,5,5,4,4,4,4,4,4,.,.,5,Very well execueted. Very informative. ,2.583333333,3.416666667,1.375,3.5,27,38,19,34
Female,17,3,1,1,.,.,.,.,.,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,4,4,4,4,4,.,.,4,.,3.75,3.666666667,3.5,4,42,44,31,35
Female,17,1,2,2,.,2,2,.,Outpatient-TIDES child and family,1,3,3,4,4,1,1,1,1,3,1,1,4,1,1,1,1,1,2,1,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,1,5,4,4,5,3,2,3,1- not my decision,1,1,.,.,4,.,2,4.083333333,1.5,4,20,49,21,30
Female,17,1,1,1,.,.,.,.,.,5,5,5,5,5,5,5,5,.,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,3,3,3,"Self-awareness skills, ccode white team response, debriefing",.,5,.,4.583333333,5,4.125,4,52,56,36,36
Female ,17,1,1,1,.,.,1,1,PMAB,4,4,4,4,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,3,3,3,3,3,.,.,4,.,3.666666667,4,3.125,4,41,48,28,35
Female ,17,6,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,.,.,3,.,4,4,4,4,48,48,32,28
Female ,17,1,1,1,.,.,.,.,.,4,4,4,5,4,3,3,2,1,3,3,3,4,2,2,3,2,1,2,3,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,1) Trauma informed/aware strategies 2) Debriefinf methods ,.,5,.,3.25,4.416666667,2.375,3.875,33,49,28,35
Female ,17,1,1,1,.,1,.,.,.,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.666666667,4,3.75,4,44,48,30,36
Female ,17,5,.,.,,.,.,.,.,3,4,4,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,4,4,5,5,5,4,4,4,4,3,4,Debriefing is needed and important. Decision making is a skill to apply at work.,.,4,"Video onsite should be avaialble, please. Thank you ",2.916666667,4.083333333,2.75,3.5,31,47,28,32
Female ,17,6,1,.,,1,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Provide info to co-staff whi have not attended TIDES. Review info to those who have attended ,.,5,.,4,5,4,5,48,60,36,40
Female ,17,2,1,1,,.,1,.,.,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,5,5,5,4,4,4,4,5,5,.,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,4,4,4,3,3,Improved confidence in restraint/control.,.,5,"Consider renaming ""weekly debrief"" as it is only a data collection tool.",3.666666667,4.083333333,3.5,4.125,42,47,32,36
Male ,17,3,1,1,,2,1,2,.,4,4,5,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,5,4,4,5,4,4,5,4,5,5,4,4,4,4,5,5,4,4,4,4,4,5,4,5,4,4,3,4,3,2,3,3,3,3,Debriefing ,.,4,Change weekly team debrief to another name,4.166666667,4.333333333,4.125,4.25,48,53,35,34
Female ,17,1,1,1,,1,.,2,.,5,5,4,4,4,4,4,4,4,.,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,.,4,3,3,3,3,3,3,.,.,4,Good!,3.833333333,4.916666667,4.125,4,44,56,36,34
Female ,17,4,1,1,,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,.,4,4,4,4,4,4,4,Yes,.,4,It’s a good learning experience,4,4,3,3.625,44,48,28,29
Male,17,6,1,1,,1,1,.,.,4,4,4,5,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"3,4",4,4,4,4,4,Team work,.,5,.,4.333333333,5,5,5,55,60,40,40
Female,17,1,1,1,,1,1,.,.,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,"Be more aware of escalations, de-escalate if possible to prevent restraints ",.,5,Thank you! ,4.333333333,4.583333333,4.125,4.125,49,53,35,36
Female,17,2,1,1,,1,.,1,.,5,4,5,4,4,3,3,3,3,4,4,5,4,3,3,3,3,3,3,4,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,4,5,5,4,4,4,4,4,4,3,3,3,4,3,3,.,.,4,Thanks. Please provide snacks!,3.916666667,4.416666667,3.25,3.5,42,46,33,32
Female,18,2,1,1,.,1,.,.,.,4,4,4,4,4,3,3,3,3,4,4,4,4,4,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,3,4,2,.,.,5,.,3.666666667,4,2.875,4,40,48,27,36
Female,18,3,1,1,.,.,.,.,.,3,4,4,4,4,4,3,2,3,4,4,4,4,4,1,1,2,2,2,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,5,5,4,4,4,5,4,5,3,3,3,3,3,3,Communicating with the team about the importance of 4 people holding on limbs when applying mechanical restraints ,.,5,.,3.583333333,4.5,2.5,4.375,38,53,29,34
